title|id|released|tagline|summary|rated|duration
The Matrix|1|1999|Welcome to the Real World|A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.|awesome|136
The Matrix Reloaded|2|2003|Free your mind|Neo and the rebel leaders estimate that they have 72 hours until 250,000 probes discover Zion and destroy it and its inhabitants. During this, Neo must decide how he can save Trinity from a dark fate in his dreams. |R|138
The Matrix Revolutions|3|2003|Everything that has a beginning has an end|The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.|R|129
The Polar Express|37|2004|This Holiday Season‰Û_ Believe|On Christmas Eve, a doubting boy boards a magical train that's headed to the North Pole and Santa Claus' home.|TV-PG|100
The Replacements|17|2000|Pain heals, Chicks dig scars... Glory lasts forever|During a pro football strike, the owners hire substitute players.|PG-13|118
The Time Traveler's Wife|60|2009|A romantic drama about a Chicago librarian with a gene that causes him to involuntarily time travel, and the complications it creates for his marriage.|Due to a genetic disorder, handsome librarian Henry DeTamble involuntarily zips through time, appearing at various moments in the life of his true love, the beautiful artist Clare Abshire.|PG-13|107
This Is the End|54|2013|Nothing ruins a party like the end of the world.|While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.|R|107
Thor|55|2011|Two worlds. One hero.|Against his father Odin's will, The Mighty Thor -a powerful but arrogant warrior god -recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.|PG-13|115
Thor: The Dark World|56|2013||Thor fights to restore order across the cosmos‰Û_ but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.|PG-13|112
Top Gun|6|1986|I feel the need, the need for speed.|As students at the Navy's elite fighter weapons school compete to be best in the class, one daring young flyer learns a few things from a civilian instructor that are not taught in the classroom.|volleyball-tastic|110
Twister|31|1996|Don't Breathe. Don't Look Back.|Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.|PG-13|113
Unforgiven|20|1992|It's a hell of a thing, killing a man|Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.|R|131
V for Vendetta|24|2006|Freedom! Forever!|In a future British tyranny, a shadowy freedom fighter plots to overthrow it with the help of a young woman.|R|132
What Dreams May Come|10|1998|After life there is more. The end is just the beginning.|After dying in a car crash a widowed man searches the afterlife for his wife.|PG-13|113
When Harry Met Sally|15|1998|At odds in life... in love on-line.|Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.|R|96
World War Z|50|2013|Remember Philly!|Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.|PG-13|116
Wrath of the Titans|61|2012|Feel the Wrath|A decade after his heroic defeat of the monstrous Kraken, Perseus-the demigod son of Zeus-is attempting to live a quieter life as a village fisherman and the sole parent to his 10-year old son, Helius. Meanwhile, a struggle for supremacy rages between the gods and the Titans. Dangerously weakened by humanity's lack of devotion, the gods are losing control of the imprisoned Titans and their ferocious leader, Kronos, father of the long-ruling brothers Zeus, Hades and Poseidon.|PG-13|99
You've Got Mail|12|1998|At odds in life... in love on-line.|Two business rivals hate each other at the office but fall in love over the internet.|PG|119
